Timestamp,Pet ID,Latitude,Longitude,Environmental Temperature (°C),Step Count,Heart Rate (BPM),Body Temperature (°C),Respiratory Rate (breaths/min),Stress Level,,,
02-11-2024 00:00,DOG001,28.6139,77.209,33.33310956,0,95,38.39497202,20,1,,,
02-11-2024 00:01,DOG001,28.6139,77.209,25.10006006,0,75,39.16895014,27,4,,,
02-11-2024 00:02,DOG001,28.6139,77.209,29.30954616,0,80,38.6294129,18,5,,,
02-11-2024 00:03,DOG001,28.59539867,77.18781656,25.21463643,20,102,39.49623318,27,2,,,
02-11-2024 00:04,DOG001,28.6139,77.209,27.59735512,0,99,38.68113411,22,2,,,
02-11-2024 00:05,DOG001,28.6139,77.209,31.34861466,0,100,38.4852622,30,4,,,
02-11-2024 00:06,DOG001,28.6139,77.209,34.4444526,0,108,38.77881642,28,2,,,
02-11-2024 00:07,DOG001,28.6139,77.209,27.5797166,0,106,38.21675848,28,1,,,
02-11-2024 00:08,DOG001,28.62734472,77.22651776,33.38443724,1,84,38.75407073,25,2,,,
02-11-2024 00:09,DOG001,28.58740099,77.23269389,33.92544975,9,80,37.51239872,27,4,,,
02-11-2024 00:10,DOG001,28.6139,77.209,21.03924196,0,69,38.40364064,26,3,,,
02-11-2024 00:11,DOG001,28.6139,77.209,25.35004257,0,90,38.95489696,27,1,,,
02-11-2024 00:12,DOG001,28.58835962,77.22421087,21.24546639,4,120,37.50209246,23,3,,,
02-11-2024 00:13,DOG001,28.6139,77.209,21.30934392,0,66,39.04152374,19,1,,,
02-11-2024 00:14,DOG001,28.6139,77.209,20.31153337,0,88,37.92318015,20,4,,,
02-11-2024 00:15,DOG001,28.62374535,77.18970507,32.22567688,15,101,38.76045529,27,3,,,
02-11-2024 00:16,DOG001,28.64029997,77.22182582,23.62979141,17,77,39.14389497,22,3,,,
02-11-2024 00:17,DOG001,28.62853731,77.20040029,34.38191429,18,77,38.74496567,23,3,,,
02-11-2024 00:18,DOG001,28.63457742,77.22546915,28.37987461,12,77,39.38014802,28,2,,,
02-11-2024 00:19,DOG001,28.59166526,77.18791133,25.40647381,19,71,37.51915235,27,5,,,
02-11-2024 00:20,DOG001,28.6111376,77.21878603,31.30378117,10,110,37.93628461,21,1,,,
02-11-2024 00:21,DOG001,28.6139,77.209,20.76110096,0,74,38.73544255,30,3,,,
02-11-2024 00:22,DOG001,28.58953703,77.19894977,21.85006467,12,114,39.29867079,19,4,,,
02-11-2024 00:23,DOG001,28.6139,77.209,29.70156407,0,81,38.78117628,28,2,,,
02-11-2024 00:24,DOG001,28.61774034,77.22514556,22.20128155,4,105,39.0737747,27,4,,,
02-11-2024 00:25,DOG001,28.6139,77.209,23.93331815,0,71,38.17960268,20,1,,,
02-11-2024 00:26,DOG001,28.6139,77.209,28.54643365,0,85,39.22732927,26,2,,,
02-11-2024 00:27,DOG001,28.58707882,77.18568682,31.34216978,8,63,38.17835379,28,5,,,
02-11-2024 00:28,DOG001,28.6139,77.209,29.11979377,0,86,37.91767045,25,3,,,
02-11-2024 00:29,DOG001,28.6139,77.209,24.20156535,0,104,38.45446206,26,1,,,
02-11-2024 00:30,DOG001,28.63470218,77.19944562,20.62282913,14,81,38.95654587,20,3,,,
02-11-2024 00:31,DOG001,28.6139,77.209,23.59308858,0,113,38.54786134,20,3,,,
02-11-2024 00:32,DOG001,28.6139,77.209,34.13724268,0,73,37.60813644,22,1,,,
02-11-2024 00:33,DOG001,28.58964633,77.20972079,33.5268367,13,102,38.34519807,27,1,,,
